who,breed,xcor,ycor,score,data-refined,validations
4,adaptas,-1,-10,4,0,0
11,adalts,5.448040875021075,-11.06748413853611,0,42,0
13,adalts,11.068800110093196,-14.148296868209844,0,43,0
10,adaptas,0,8,4,0,0
15,adalts,7.432708727549524,-4.023552867892339,0,37,0
2,adaptas,15,15,4,0,0
5,adaptas,-3,0,4,0,0
9,adaptas,-5,-4,4,0,0
3,adaptas,-16,9,4,0,0
7,adaptas,-6,-1,4,0,0
8,adaptas,15,8,4,0,0
14,adalts,2.5485181136425585,4.645336179928082,0,39,0
12,adalts,16.462443916308604,-3.9675064950409054,0,48,0
16,degovs,-5.630860291236694,-16.137694290662346,0,0,56817
6,adaptas,-6,-7,4,0,0
0,ia-cores,0,0,0,0,0
17,degovs,-3.020333520787267,13.190950397772752,0,0,56860
1,adaptas,-7,0,4,0,0
