who,breed,xcor,ycor,score,data-refined,validations
13,adalts,-6.822885095529085,-15.25360170049014,0,43,0
15,adalts,8.322984503938303,7.9386385391257885,0,37,0
4,adaptas,-1,-10,4,0,0
14,adalts,-4.975892033315817,-7.279609755649186,0,39,0
5,adaptas,-3,0,4,0,0
6,adaptas,-6,-7,4,0,0
12,adalts,-4.7825932159855915,1.987533221481626,0,48,0
16,degovs,-2.9401573191924264,14.236736146318776,0,0,52728
1,adaptas,-7,0,4,0,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
11,adalts,5.491724347895717,13.154794396019565,0,42,0
0,ia-cores,0,0,0,0,0
17,degovs,-11.001680375812285,15.512300993545026,0,0,52727
10,adaptas,0,8,4,0,0
2,adaptas,15,15,4,0,0
7,adaptas,-6,-1,4,0,0
9,adaptas,-5,-4,4,0,0
